stampm,pressure,dew_point,precipitation,humidity,temperature,wind_bearing,wind_speed,illuminance,pressure_tendency
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594911600.0,1014.6,,0.0,51.0,23.0,,11.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594915200.0,1014.4,,0.0,52.0,22.0,,13.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594918800.0,1014.2,,0.0,53.0,22.0,,12.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594922400.0,1014.4,,0.0,57.0,22.0,,13.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594926000.0,1014.6,,0.0,58.0,21.0,,14.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594929600.0,1014.7,,0.0,63.0,20.0,,13.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594933200.0,1015.4,,0.0,71.0,18.0,,8.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594936800.0,1016.3,,0.0,70.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
